# ⚠️ UNVERIFIED DATA — DO NOT QUOTE ANY FIGURE FROM THIS FILE AS FACT. See README.md. Flagged 2026-08-15.
item_id,type,title,description,origin,provenance_status,condition,emotional_tag,monetization_path,valuation_status,location,photo_filename
CC-001,Roman coin,Bronze follis of Constantine I,"Late Roman bronze follis, SOL INVICTO reverse, even green patina. Bought loose from a bazaar dealer with no paperwork.",Istanbul purchase 1997 — struck c. 320 CE,Undocumented,Good,Neutral,Legal check first,Not valued,Mom's house — Boca,cc-001-follis-obverse.jpg
CC-002,African artifact,"Ashanti brass gold weights, set of 14","Cast brass figural and geometric weights used to measure gold dust. Sold as a group; two are later tourist castings.",Ghana — acquired Accra 2006,Photo record only,Good,Mom's story,Consign — auction,Appraisal needed,Mom's house — Boca,cc-002-goldweights-set.jpg
CC-003,Asian textile,Bukhara suzani panel,"Hand-embroidered silk on cotton ground, large floral medallions. Sun fading along one edge.",Uzbekistan — Bukhara c. 1940s,Documented — receipt on file,Fair,Neutral,Private sale,Self-estimate,Storage — Pompano,cc-003-suzani-full.jpg
CC-004,Hunting trophy,Cape buffalo shoulder mount,"Full shoulder mount, 44-inch spread, professionally mounted 2005. Anchors the ranch great room.",Zimbabwe — Save Valley 2004,Documented — export permit on file,Excellent,Arturo's story,Hold — insure only,Appraised 2024,Legends Ranch — MI,cc-004-buffalo-mount.jpg
CC-005,Religious icon,Icon of St. Nicholas,"Egg tempera on wood panel with silver-tone riza. Paint lifting at the lower left corner.",Russia — 19th century,Family memory only,Restoration needed,Keep — do not sell,Hold — insure only,Not valued,Mom's house — Boca,cc-005-icon-st-nicholas.jpg
CC-006,Vintage photograph,"Everglades fishing camp prints, set of 22","Original silver gelatin prints of Everglades camps, airboats and guides. Photographer unidentified, strong local-interest subject.",South Florida — 1946-1952,Undocumented,Good,Neutral,Print & license,Not valued,Boca 503 — storage,cc-006-everglades-set.jpg
CC-007,Asian ceramic,Satsuma vase,"Hand-painted earthenware with heavy gilt, signed on the base, 14 inches. Hairline crack at the foot rim.",Japan — Meiji c. 1890,Documented — receipt on file,Fair,Ready to release,Consign — auction,Appraisal needed,Island Club PH3,cc-007-satsuma-vase.jpg
CC-008,Native American textile,Navajo Two Grey Hills weaving,"Handspun wool in natural greys, browns and black, roughly 3 x 5 feet. Even wear, no repairs.",Southwest US — c. 1935,Family memory only,Good,Mom's story,Private sale,Appraisal needed,Mom's house — Boca,cc-008-navajo-weaving.jpg
CC-009,Historical instrument,Brass surveyor's transit,"Working transit with original tripod and fitted case, maker's plate intact. Came with the ranch property.",Michigan — dated 1898,Photo record only,Good,Arturo's story,Hold — insure only,Not valued,Wildlife Center — MI,cc-009-transit-in-case.jpg
CC-010,Historical document,Hand-colored map of Florida,"Engraved and hand-colored territorial map of Florida. Matted but never framed, light foxing in the margins.",Philadelphia — Tanner 1837,Documented — receipt on file,Good,Neutral,Print & license,Self-estimate,Boca 503 — storage,cc-010-florida-map-1837.jpg
